"c2014","c2015","c2016","c2017","c2018","c2019","c2020","c2021","c2022"
"CK20180129001",501,3128,"螺纹钢",30,64.05,11,"2018-01-29 00:13:04","2018-01-29 00:13:42"
"CK20180129004",501,3128,"螺纹钢",27,55.755,11,"2018-01-29 00:38:21","2018-01-29 00:39:00"
"CK20180129017",501,3128,"螺纹钢",36,62.72,11,"2018-01-29 01:46:20","2018-01-29 01:46:25"
"CK20180129018",189,33326,"冷硬卷",5,75.488,11,"2018-01-29 01:56:00","2018-01-29 02:21:50"
"CK20180129047",501,3128,"螺纹钢",32,67.2,11,"2018-01-29 03:56:27","2018-01-29 03:56:35"
"CK20180129054",501,3128,"螺纹钢",20,39.2,11,"2018-01-29 04:25:37","2018-01-29 04:25:43"
"CK20180129063",501,3128,"螺纹钢",20,42,11,"2018-01-29 05:05:17","2018-01-29 05:05:23"
"CK20180129066",501,3128,"螺纹钢",24,49,11,"2018-01-29 05:35:33","2018-01-29 05:35:41"
"CK20180129067",501,3128,"螺纹钢",24,49,11,"2018-01-29 05:41:20","2018-01-29 05:41:26"
"CK20180129068",501,3128,"螺纹钢",20,39.2,11,"2018-01-29 06:04:31","2018-01-29 06:04:46"
"CK20180129069",501,3128,"螺纹钢",24,39.9,11,"2018-01-29 08:03:15","2018-01-29 08:03:23"
"CK20180129070",501,3128,"螺纹钢",27,44.8,11,"2018-01-29 08:51:02","2018-01-29 08:51:11"
"CK20180129076",364,3114,"冷板",1,3.836,11,"2018-01-29 09:31:54","2018-01-29 09:31:54"
"CKW20180129001",353,3109,"热卷",1,19.4215,11,"2018-01-29 09:47:28","2018-01-29 09:47:28"
"CKW20180129002",702,3119,"镀锌卷",1,3.129,11,"2018-01-29 09:49:30","2018-01-29 09:49:30"
"CK20180129078",1346,3115,"冷卷",3,16.205,11,"2018-01-29 09:36:49","2018-01-29 09:52:08"
"CK20180129085",1346,3114,"冷板",3,11.837,11,"2018-01-29 09:53:44","2018-01-29 09:53:56"
"CK20180129086",1346,3114,"冷板",3,10.71,11,"2018-01-29 09:54:54","2018-01-29 09:55:15"
"CKW20180129003",220,3109,"热卷",3,22.036,11,"2018-01-29 10:06:59","2018-01-29 10:06:59"
"CK20180129096",591,3114,"冷板",1,3.801,11,"2018-01-29 10:23:21","2018-01-29 10:23:30"
"CK20180129100",169,33401,"车轮钢卷",1,12.4215,11,"2018-01-29 10:23:31","2018-01-29 10:23:31"
"CK20180129097",364,3114,"冷板",3,12.306,11,"2018-01-29 10:24:09","2018-01-29 10:24:17"
"CKW20180129004",1774,3115,"冷卷",5,46.263,11,"2018-01-29 10:24:38","2018-01-29 10:24:38"
"CKW20180129005",253,379,"花纹卷",2,27.083,11,"2018-01-29 10:27:13","2018-01-29 10:27:13"
