"r2014","r2015","r2016","r2017","r2018","r2019","r2020","r2021","r2022"
"RK20180127535",169,3109,"热卷",2,40.705,2,"2018-01-29 00:36:15","2018-01-29 00:36:15"
"RK20180129003",2431,3109,"热卷",2,41.4169,2,"2018-01-29 00:40:06","2018-01-29 00:40:06"
"RK20180127544",169,3105,"低合金卷",2,40.8975,2,"2018-01-29 00:42:57","2018-01-29 00:42:57"
"RK20180129004",2431,3109,"热卷",2,41.4099,2,"2018-01-29 00:44:20","2018-01-29 00:44:20"
"RK20180127603",297,3115,"冷卷",2,9.814,2,"2018-01-29 00:45:46","2018-01-29 00:45:46"
"RK20180126800",973,3115,"冷卷",7,33.873,2,"2018-01-29 00:46:23","2018-01-29 00:46:23"
"RK20180127583",297,3115,"冷卷",1,5.11,2,"2018-01-29 00:47:55","2018-01-29 00:47:55"
"RK20180127576",973,3115,"冷卷",4,19.649,2,"2018-01-29 00:48:18","2018-01-29 00:48:18"
"RK20180127539",169,3105,"低合金卷",2,41.209,2,"2018-01-29 00:48:49","2018-01-29 00:48:49"
"RK20180127434",972,3115,"冷卷",1,5.187,2,"2018-01-29 00:49:10","2018-01-29 00:49:10"
"RK20180127500",427,3115,"冷卷",1,4.907,2,"2018-01-29 00:49:13","2018-01-29 00:49:13"
"RK20180127558",973,3115,"冷卷",5,25.732,2,"2018-01-29 00:51:40","2018-01-29 00:51:40"
"RK20180127561",973,3115,"冷卷",1,4.991,2,"2018-01-29 00:53:54","2018-01-29 00:53:54"
"RK20180129006",189,3109,"热卷",2,27.195,2,"2018-01-29 00:54:15","2018-01-29 00:54:15"
"RK20180127588",297,3115,"冷卷",2,9.996,2,"2018-01-29 00:55:07","2018-01-29 00:55:07"
"RK20180127543",169,3105,"低合金卷",2,41.4855,2,"2018-01-29 00:55:32","2018-01-29 00:55:32"
"RK20180126777",169,3120,"酸洗卷",4,24.283,2,"2018-01-29 00:55:37","2018-01-29 00:55:37"
"RK20180126777",169,3115,"冷卷",2,16.807,2,"2018-01-29 00:55:37","2018-01-29 00:55:37"
"RK20180127489",427,3115,"冷卷",1,5.04,2,"2018-01-29 00:56:03","2018-01-29 00:56:03"
"RK20180127439",972,3115,"冷卷",3,15.015,2,"2018-01-29 00:57:22","2018-01-29 00:57:22"
"RK20180126743",1400,3109,"热卷",4,27.846,2,"2018-01-29 01:03:36","2018-01-29 01:03:36"
"RK20180127549",169,3105,"低合金卷",2,41.6185,2,"2018-01-29 01:04:13","2018-01-29 01:04:13"
"RK20180127504",192,3120,"酸洗卷",1,6.587,2,"2018-01-29 01:07:02","2018-01-29 01:07:02"
"RK20180127560",973,3115,"冷卷",4,21.35,2,"2018-01-29 01:09:46","2018-01-29 01:09:46"
"RK20180127601",297,3115,"冷卷",3,14.553,2,"2018-01-29 01:10:26","2018-01-29 01:10:26"
"RK20180127574",973,3115,"冷卷",3,14.546,2,"2018-01-29 01:11:54","2018-01-29 01:11:54"
"RK20180127498",427,3115,"冷卷",1,4.802,2,"2018-01-29 01:12:32","2018-01-29 01:12:32"
"RK20180127435",972,3115,"冷卷",2,11.732,2,"2018-01-29 01:13:16","2018-01-29 01:13:16"
"RK20180129012",1913,3119,"镀锌卷",8,38.0905,2,"2018-01-29 01:13:31","2018-01-29 01:13:31"
"RK20180127446",972,3115,"冷卷",1,4.921,2,"2018-01-29 01:14:07","2018-01-29 01:14:07"
"RK20180127495",427,3115,"冷卷",1,4.935,2,"2018-01-29 01:14:49","2018-01-29 01:14:49"
"RK20180129013",1913,3119,"镀锌卷",8,37.9365,2,"2018-01-29 01:15:00","2018-01-29 01:15:00"
"RK20180127569",973,3115,"冷卷",2,9.856,2,"2018-01-29 01:15:49","2018-01-29 01:15:49"
"RK20180127595",297,3115,"冷卷",3,14.735,2,"2018-01-29 01:16:51","2018-01-29 01:16:51"
"RK20180127490",427,3115,"冷卷",1,4.76,2,"2018-01-29 01:19:31","2018-01-29 01:19:31"
"RK20180127562",973,3115,"冷卷",6,28.497,2,"2018-01-29 01:28:05","2018-01-29 01:28:05"
"RK20180127482",273,3115,"冷卷",2,18.739,2,"2018-01-29 01:31:48","2018-01-29 01:31:48"
"RK20180127515",2397,3120,"酸洗卷",1,6.461,2,"2018-01-29 01:32:56","2018-01-29 01:32:56"
"RK20180127423",1400,3120,"酸洗卷",1,6.125,2,"2018-01-29 01:34:18","2018-01-29 01:34:18"
"RK20180127597",297,3115,"冷卷",2,9.912,2,"2018-01-29 01:38:49","2018-01-29 01:38:49"
"RK20180127571",973,3115,"冷卷",3,14.84,2,"2018-01-29 01:39:56","2018-01-29 01:39:56"
"RK20180127497",427,3115,"冷卷",1,4.935,2,"2018-01-29 01:40:33","2018-01-29 01:40:33"
"RK20180127449",972,3115,"冷卷",1,4.97,2,"2018-01-29 01:41:08","2018-01-29 01:41:08"
"RK20180127590",297,3115,"冷卷",2,9.758,2,"2018-01-29 01:48:16","2018-01-29 01:48:16"
"RK20180127564",973,3115,"冷卷",3,14.623,2,"2018-01-29 01:49:40","2018-01-29 01:49:40"
"RK20180127491",427,3115,"冷卷",1,4.886,2,"2018-01-29 01:50:38","2018-01-29 01:50:38"
"RK20180127441",972,3115,"冷卷",1,4.886,2,"2018-01-29 01:51:01","2018-01-29 01:51:01"
"RK20180128254",169,3109,"热卷",2,40.4005,2,"2018-01-29 03:13:11","2018-01-29 03:13:11"
"RK20180128291",292,3105,"低合金卷",1,20.2755,2,"2018-01-29 03:13:45","2018-01-29 03:13:45"
"RK20180128208",194,3105,"低合金卷",2,41.3665,2,"2018-01-29 03:15:26","2018-01-29 03:15:26"
"RK20180128157",194,3105,"低合金卷",1,20.3595,2,"2018-01-29 03:15:26","2018-01-29 03:15:26"
"RK20180129024",189,3109,"热卷",2,26.964,2,"2018-01-29 03:17:22","2018-01-29 03:17:22"
